time 00h 38m 24s, episodes 3751, frames 0.4M, mean epr -477.47, run loss 2255.66
time 00h 38m 34s, episodes 3766, frames 0.4M, mean epr -479.33, run loss 2277.01
time 00h 38m 44s, episodes 3782, frames 0.4M, mean epr -486.62, run loss 2273.70
time 00h 38m 54s, episodes 3798, frames 0.4M, mean epr -490.20, run loss 2292.58
time 00h 39m 05s, episodes 3816, frames 0.4M, mean epr -497.85, run loss 2329.79
time 00h 39m 15s, episodes 3834, frames 0.4M, mean epr -489.06, run loss 2266.65
time 00h 39m 26s, episodes 3850, frames 0.4M, mean epr -486.77, run loss 2272.55
time 00h 39m 36s, episodes 3868, frames 0.4M, mean epr -482.90, run loss 2237.83
time 00h 39m 47s, episodes 3886, frames 0.4M, mean epr -484.60, run loss 2268.07
time 00h 39m 57s, episodes 3902, frames 0.4M, mean epr -483.50, run loss 2261.59
time 00h 40m 07s, episodes 3919, frames 0.4M, mean epr -484.84, run loss 2210.38
time 00h 40m 17s, episodes 3936, frames 0.4M, mean epr -481.74, run loss 2191.88
time 00h 40m 27s, episodes 3953, frames 0.4M, mean epr -494.92, run loss 2260.37
time 00h 40m 38s, episodes 3970, frames 0.4M, mean epr -488.53, run loss 2209.18
time 00h 40m 48s, episodes 3987, frames 0.4M, mean epr -489.90, run loss 2235.23
time 00h 40m 58s, episodes 4005, frames 0.4M, mean epr -489.16, run loss 2204.64
time 00h 41m 08s, episodes 4024, frames 0.4M, mean epr -491.67, run loss 2210.09
time 00h 41m 19s, episodes 4041, frames 0.4M, mean epr -507.71, run loss 2233.45
time 00h 41m 29s, episodes 4059, frames 0.4M, mean epr -511.09, run loss 2240.81
time 00h 41m 39s, episodes 4077, frames 0.4M, mean epr -509.47, run loss 2246.98
time 00h 41m 50s, episodes 4093, frames 0.4M, mean epr -509.07, run loss 2269.78
time 00h 42m 00s, episodes 4110, frames 0.4M, mean epr -509.31, run loss 2274.06
time 00h 42m 10s, episodes 4127, frames 0.5M, mean epr -514.46, run loss 2277.32
time 00h 42m 20s, episodes 4142, frames 0.5M, mean epr -514.84, run loss 2311.27
time 00h 42m 31s, episodes 4160, frames 0.5M, mean epr -516.62, run loss 2290.36
time 00h 42m 42s, episodes 4177, frames 0.5M, mean epr -503.29, run loss 2234.26
time 00h 42m 52s, episodes 4188, frames 0.5M, mean epr -503.32, run loss 2232.69
time 00h 43m 02s, episodes 4205, frames 0.5M, mean epr -511.82, run loss 2257.80
time 00h 43m 13s, episodes 4220, frames 0.5M, mean epr -513.85, run loss 2272.94
time 00h 43m 23s, episodes 4239, frames 0.5M, mean epr -506.17, run loss 2299.78
time 00h 43m 33s, episodes 4255, frames 0.5M, mean epr -505.87, run loss 2261.41
time 00h 43m 44s, episodes 4271, frames 0.5M, mean epr -508.76, run loss 2291.12
time 00h 43m 54s, episodes 4286, frames 0.5M, mean epr -505.64, run loss 2309.68
time 00h 44m 04s, episodes 4303, frames 0.5M, mean epr -499.36, run loss 2302.78
time 00h 44m 14s, episodes 4319, frames 0.5M, mean epr -481.35, run loss 2241.62
time 00h 44m 25s, episodes 4337, frames 0.5M, mean epr -477.11, run loss 2190.86
time 00h 44m 35s, episodes 4353, frames 0.5M, mean epr -481.12, run loss 2175.65
time 00h 44m 45s, episodes 4368, frames 0.5M, mean epr -476.19, run loss 2177.38
time 00h 44m 56s, episodes 4387, frames 0.5M, mean epr -463.92, run loss 2123.41
time 00h 45m 06s, episodes 4403, frames 0.5M, mean epr -462.92, run loss 2088.58
time 00h 45m 17s, episodes 4417, frames 0.5M, mean epr -461.00, run loss 2082.59
time 00h 45m 27s, episodes 4434, frames 0.5M, mean epr -468.47, run loss 2124.38
time 00h 45m 37s, episodes 4450, frames 0.5M, mean epr -461.88, run loss 2096.34
time 00h 45m 48s, episodes 4464, frames 0.5M, mean epr -459.97, run loss 2089.45
time 00h 45m 58s, episodes 4482, frames 0.5M, mean epr -460.13, run loss 2086.44
time 00h 46m 08s, episodes 4497, frames 0.5M, mean epr -471.01, run loss 2139.64
time 00h 46m 19s, episodes 4513, frames 0.5M, mean epr -470.97, run loss 2200.83
time 00h 46m 29s, episodes 4530, frames 0.5M, mean epr -469.16, run loss 2191.99
time 00h 46m 40s, episodes 4546, frames 0.5M, mean epr -474.06, run loss 2216.43
time 00h 46m 50s, episodes 4562, frames 0.5M, mean epr -467.24, run loss 2201.79
time 00h 47m 00s, episodes 4578, frames 0.5M, mean epr -471.75, run loss 2240.95
time 00h 47m 11s, episodes 4597, frames 0.5M, mean epr -457.44, run loss 2208.01
time 00h 47m 21s, episodes 4613, frames 0.5M, mean epr -447.58, run loss 2151.36
time 00h 47m 31s, episodes 4631, frames 0.5M, mean epr -455.21, run loss 2144.22
time 00h 47m 41s, episodes 4648, frames 0.5M, mean epr -457.26, run loss 2113.76
time 00h 47m 51s, episodes 4665, frames 0.5M, mean epr -450.05, run loss 2048.32
time 00h 48m 01s, episodes 4680, frames 0.5M, mean epr -444.97, run loss 2055.23
time 00h 48m 12s, episodes 4694, frames 0.5M, mean epr -452.87, run loss 2080.88
time 00h 48m 22s, episodes 4712, frames 0.5M, mean epr -446.24, run loss 2039.16
time 00h 48m 32s, episodes 4731, frames 0.5M, mean epr -438.60, run loss 2057.10
